,index,star_end_address,Monday_avg,Tuesday_avg,Wednesday_avg,Thursday_avg,Friday_avg,Saturday_avg,Sunday_avg,Monday_q1,Tuesday_q1,Wednesday_q1,Thursday_q1,Friday_q1,Saturday_q1,Sunday_q1,Monday_q3,Tuesday_q3,Wednesday_q3,Thursday_q3,Friday_q3,Saturday_q3,Sunday_q3
10,10,Arthur Road Jail   Jacob Circle  ,6.921540638,7.111376477,7.124092794,7.061656034,6.611542484,6.417899332,6.485241042,1.05,1.1,1.133333333,1.066666667,0.966666667,0.85,0.816666667,10.43333333,10.75,10.73333333,10.79583333,10.56666667,9.916666667,9.483333333
11,11,Ashok Silk Mills   Indian Oil Petrol Pump & CNG Vikhroli  ,4.65839107,4.89396618,4.777747678,4.786493333,4.936574803,5.372235023,4.728986626,3.616666667,3.616666667,3.579166667,3.633333333,3.616666667,3.616666667,3.6,5.05,5.283333333,5.216666667,5.266666667,5.3625,6.345833333,5.216666667
12,12,Bandra police station   Lucky restaurant  ,2.567285862,2.607122726,2.612116485,2.586499069,2.601196982,2.727892985,2.444028314,2.116666667,2.133333333,2.116666667,2.133333333,2.133333333,2.1,2.083333333,2.883333333,2.933333333,2.916666667,2.916666667,2.916666667,3.083333333,2.633333333
13,13,Bandra Reclaimation   Lilavati Hospital  ,1.981370285,1.988773682,1.980726329,1.98177458,2.005002612,2.03250128,1.979472329,1.766666667,1.754166667,1.75,1.75,1.75,1.766666667,1.816666667,2.116666667,2.133333333,2.133333333,2.133333333,2.15,2.166666667,2.066666667
14,14,Bandra-Kurla Complex (BKC)   Kapadia Nagar Kurla  ,6.128239672,6.211719352,6.219121447,6.278095996,6.230413721,5.911363054,5.781828704,4.833333333,4.783333333,4.85,4.85,4.833333333,4.833333333,4.933333333,7.016666667,7.183333333,7.216666667,7.266666667,7.25,6.733333333,6.433333333
15,15,Basant Rubber Factory Limited   Bharat Petroleum Vikhroli Automobiles  ,4.92281242,4.968641026,4.909169239,4.97794586,4.802371593,4.104633897,4.198546811,2.383333333,2.395833333,2.35,2.345833333,2.35,2.2,2.116666667,5.108333333,5.366666667,5.354166667,5.4875,5.154166667,4.5,4.383333333
16,16,Behram Baug   J A Meghani Memorial School  ,2.28951717,2.23283179,2.285159285,2.265620863,2.216456527,2.298936715,1.902327675,1.583333333,1.583333333,1.583333333,1.583333333,1.583333333,1.566666667,1.55,2.45,2.483333333,2.45,2.566666667,2.416666667,2.45,2.066666667
17,17,Belapur Road Thane  Kalwa Naka Thane ,24.16232331,24.37752564,24.41807384,24.72500667,24.5201596,23.14933282,21.0901521,19.65,19.88333333,19.86666667,20.06666667,20.075,20.08333333,19.1,27.15,27.15,27.31666667,27.55,27.13333333,24.84166666,21.95
18,18,Bharat Petroleum Vikhroli Automobiles   Basant Rubber Factory Limited  ,1.107512821,1.125641026,1.125612271,1.138129306,1.146422956,0.962990008,0.767207625,0.679166666,0.683333333,0.666666667,0.666666667,0.683333333,0.666666667,0.666666667,1.433333333,1.45,1.483333333,1.533333333,1.533333333,1.2,0.9
19,19,Borivli National Park Gate   Goregaon Hub Mall  ,23.97387387,24.4569669,24.30571168,25.73598455,26.10883819,25.41166409,20.35009009,13.75,14.50833334,13.9,14.84166667,14.64166666,14.88333333,14.15,31.76666667,31.29166667,31.43333333,32.99166667,34.98333334,33.475,25.18333333
20,20,Cafe Almas   Minara Masjid  ,6.92079157,6.768230769,6.774450478,7.105568878,6.952068604,7.082152938,6.256320949,5.083333333,5.083333333,5.066666667,5.1,5.216666667,5.15,5.1,8.316666667,8.170833334,8.216666667,8.708333334,8.233333333,8.583333334,7.266666667
21,21,Cafe Arfa   J P Road Junction  ,3.478794872,3.631168332,3.422700258,3.36856,3.436293688,3.45140809,3.045456885,2.15,2.166666667,2.166666667,2.170833334,2.2,2.183333333,2.15,4.133333333,4.35,4.166666667,4.1125,4.116666667,4.195833333,3.55
22,22,Carnac Bridge   Crawford Market Junction  ,3.473258514,3.416306584,3.285530421,3.471998928,3.342381327,3.406076923,2.291834625,1.966666667,1.95,1.95,1.983333333,1.983333333,1.966666667,1.983333333,4.2,4.170833334,4.1125,4.325,4.116666667,4.483333333,2.6
23,23,Carnac Road   Ramabai Ambedkar Police Station  ,2.576766898,2.473705128,2.417183863,2.39773876,2.447695732,2.704182705,2.011484919,1.7,1.733333333,1.716666667,1.666666667,1.716666667,1.75,1.633333333,2.666666667,2.654166667,2.633333333,2.666666667,2.7,2.766666667,2.266666667
24,24,Chembur flyover   Amarmahal Junction flyover  ,5.898715973,6.262080451,5.980387597,6.111133227,6.186143791,6.034884615,5.361033772,4.083333333,4.15,4.133333333,4.133333333,4.15,4.15,4.15,6.979166666,7.15,7.083333333,7.570833334,7.525,7.366666667,6.183333333
25,25,Chembur Naka V N Purav Marg   TISS  ,4.251988709,4.345570917,4.432057231,4.600039746,4.640214547,4.535240655,4.062834362,3.133333333,3.166666667,3.183333333,3.216666667,3.2,3.2,3.1,5.433333333,5.45,5.466666667,5.533333333,5.566666667,5.579166667,5.083333333
26,26,Chunabhatti   Sion Circle  ,6.917962535,7.009203789,6.988639298,7.011597665,6.980599163,6.983205325,6.616319444,6.025,6.0375,6.033333333,6.1,6.016666667,6,5.883333333,7.683333333,7.783333333,7.8,7.766666667,7.783333333,7.783333333,7.216666667
27,27,Civil Hospital Thane  Uthalsar Thane ,4.343415957,4.356410256,4.363110073,4.357235967,4.357894737,4.444418784,4.150813323,3.75,3.75,3.733333333,3.783333333,3.816666667,3.766666667,3.716666667,4.766666667,4.8,4.7875,4.733333333,4.75,4.933333333,4.45
28,28,Cosmic Fusion    Metro Medical  ,16.46943803,16.84870612,16.53113525,17.03880895,16.97507224,17.34284434,15.43231739,12.33333334,13.06666667,12.9,13.21666667,13.26666667,13.15416667,11.88333333,22.275,22.76666667,21.93333333,22.81666667,22.53333333,22.60833334,19.43333333
29,29,Court Naka Thane  Talaopali Thane ,6.577627859,6.621038462,6.627332815,6.666573631,6.662375719,6.319812532,5.481075851,5.016666667,4.983333333,4.983333333,4.983333333,4.966666667,4.95,4.916666667,7.75,7.833333333,7.833333333,7.95,7.916666667,7.183333333,5.85
30,30,Crawford Market Junction   Carnac Bridge  ,4.92,4.581588401,4.543985451,4.649667995,4.608767087,5.533269181,3.508681092,3.016666667,3.141666667,3.216666667,3.1,3.283333333,3.133333333,3.15,5.966666667,5.516666667,5.525,5.725,5.420833334,6.958333334,3.85
31,31,Dadar TT   S K Bole Marg  ,11.60248008,14.45297436,12.73343653,13.0151672,12.46649647,12.61847436,11.40977589,8.416666667,8.633333333,8.216666667,8.245833333,8.316666667,8.466666667,8.383333333,14.01666667,16.95416667,15.3375,16.07083334,15.36666667,16.31666667,13.96666667
32,32,Dr E Moses Junction   High Street Phoenix Mall  ,nan,13.03854167,10.18787879,8.11111111,10.075,13.63194444,15.89,nan,10.81666667,9.316666667,6.966666666,7.5875,10.9625,14.45,nan,15.52083334,10.51666667,9.379166667,12.5625,16.07083333,17.15
33,33,Dreams The Mall Bhandup West   400078 Shangrila Biscuit Factory Rajiv Gandhi Nagar  ,5.351183128,5.358577298,5.424714878,5.22982947,5.291934641,5.72016129,4.628507079,4.133333333,4.170833334,4.183333333,4.225,4.225,4.116666667,3.941666667,6.266666667,6.2625,6.333333333,6.133333333,6.158333334,6.729166666,5.1
34,34,Eastern Express Highway   Orange Gate  ,26.63544565,27.23568129,26.48216602,27.2812963,27.43804091,26.10572676,24.33685848,23.16666667,22.96666667,23.08333333,23.1,23.15,23.05,22.95,28.1,28.26666667,28.16666667,28.9,28.70833334,28.19583333,25.9
35,35,Eastern Express Highway   Fortis Hospital  ,14.57862319,14.96949153,14.89271643,14.85412673,14.84113559,15.14419172,13.75356037,11.56666667,11.55,11.68333333,11.55,11.63333333,11.61666667,11.61666667,16.26666667,16.675,16.88333333,17.05,16.66666667,17.03333333,14.63333333
